model,r2,rmse,mae,time_s,fingerprint,split
SVR (Linear),0.29840243,1.0507798886201682,0.8053300976753235,45.65482807159424,cdk_ext,kennard_stone
k-Nearest Neighbors,0.16340244,1.1474295104572658,0.8622564673423767,0.11906099319458,cdk_ext,kennard_stone
MLP Regressor,0.3027743,1.0475009356474054,0.7489144802093506,22.2651047706604,cdk_ext,kennard_stone
AdaBoost,0.1287195673855815,1.1709725302474827,0.9731378323633424,255.4073581695557,cdk_ext,kennard_stone
Random Forest,0.30860436,1.0431122413252685,0.7539408206939697,301.5548822879791,cdk_ext,kennard_stone
Lasso Regression,0.109206855,1.181581404281761,0.9862269163131714,3.68363356590271,cdk_graphonly,random
ElasticNet,0.18377584,1.131045153285693,0.9435920715332032,4.785470724105835,cdk_graphonly,random
Decision Tree,0.3607962303268437,1.0009096385478329,0.7069464284326569,5.746824264526367,cdk_graphonly,random
Bayesian Ridge,0.40102714,0.9688995922630697,0.7485997080802917,3.8831844329833984,cdk_graphonly,random
PLS Regression,0.342569824087905,1.0150794244861845,0.7907553385610525,1.5506324768066406,cdk_graphonly,random
Ridge Regression,0.22191077,1.1043072317128255,0.8243884444236755,0.4395051002502441,cdk_graphonly,random
Gradient Boosting,0.4184261025207448,0.9547236056620906,0.739177931702654,42.28296041488648,cdk_graphonly,random
XGBoost,0.5125059,0.8740975289934261,0.6451443433761597,22.03464913368225,cdk_graphonly,random
SVR (RBF),0.4534157,0.925558328951308,0.695509135723114,0.4479563236236572,cdk_graphonly,random
SVR (Linear),0.1487081,1.1550863957810449,0.8366184234619141,6.977833032608032,cdk_graphonly,random
k-Nearest Neighbors,0.38173884,0.9843763926662704,0.7288109064102173,0.0829050540924072,cdk_graphonly,random
MLP Regressor,0.4259637,0.9485164603181035,0.7292771339416504,19.817811489105225,cdk_graphonly,random
AdaBoost,0.2580012691183339,1.078392326481234,0.8879430037948998,11.988350868225098,cdk_graphonly,random
Random Forest,0.521594,0.865911524481825,0.6535486578941345,228.3576900959015,cdk_graphonly,random
Lasso Regression,-0.4273877,1.2070965795522073,0.9898877739906312,5.084521532058716,cdk_graphonly,kennard_stone
ElasticNet,-0.38211536,1.187799666891647,0.9735829830169678,5.350684642791748,cdk_graphonly,kennard_stone
Decision Tree,-0.1914925684927051,1.1028506840926098,0.8227667463693545,5.114409923553467,cdk_graphonly,kennard_stone
Bayesian Ridge,-0.15909612,1.0877542461609602,0.8613583445549011,3.939743995666504,cdk_graphonly,kennard_stone
PLS Regression,-0.2543030302889317,1.1315461822612671,0.9032861554613064,1.115943193435669,cdk_graphonly,kennard_stone
Ridge Regression,-0.14028263,1.0788903767649376,0.8468829989433289,0.434302806854248,cdk_graphonly,kennard_stone
Gradient Boosting,-0.2050446401142596,1.109104878634039,0.8791380751544557,36.92130374908447,cdk_graphonly,kennard_stone
XGBoost,-0.14488411,1.081064997815982,0.8044210076332092,22.052183628082275,cdk_graphonly,kennard_stone
SVR (RBF),-0.2768407,1.141666877124702,0.8809219598770142,0.5040237903594971,cdk_graphonly,kennard_stone
SVR (Linear),-0.2804432,1.1432763207978294,0.8884714841842651,8.439508199691772,cdk_graphonly,kennard_stone
k-Nearest Neighbors,-0.17128265,1.0934574825949936,0.8440384864807129,0.0780997276306152,cdk_graphonly,kennard_stone
MLP Regressor,-0.19681025,1.1053089794720856,0.8477969765663147,18.017134189605716,cdk_graphonly,kennard_stone
